代码,名称,日期,收盘价(元)
000188.SH,中国波指,2017/9/18,13.7
000188.SH,中国波指,2017/9/19,12.94
000188.SH,中国波指,2017/9/20,12.81
000188.SH,中国波指,2017/9/21,12.75
000188.SH,中国波指,2017/9/22,12.59
000188.SH,中国波指,2017/9/25,12.82
000188.SH,中国波指,2017/9/26,12.73
000188.SH,中国波指,2017/9/27,12.31
000188.SH,中国波指,2017/9/28,10.53
000188.SH,中国波指,2017/9/29,11.12
000188.SH,中国波指,2017/10/9,11.58
000188.SH,中国波指,2017/10/10,11.64
000188.SH,中国波指,2017/10/11,11.06
000188.SH,中国波指,2017/10/12,10.68
000188.SH,中国波指,2017/10/13,10.66
000188.SH,中国波指,2017/10/16,10.55
000188.SH,中国波指,2017/10/17,10.66
000188.SH,中国波指,2017/10/18,10.26
000188.SH,中国波指,2017/10/19,10.46
000188.SH,中国波指,2017/10/20,10.46
000188.SH,中国波指,2017/10/23,10.33
000188.SH,中国波指,2017/10/24,11.59
000188.SH,中国波指,2017/10/25,11.35
000188.SH,中国波指,2017/10/26,11.16
000188.SH,中国波指,2017/10/27,10.72
000188.SH,中国波指,2017/10/30,11.59
000188.SH,中国波指,2017/10/31,10.93
000188.SH,中国波指,2017/11/1,10.62
000188.SH,中国波指,2017/11/2,10.57
000188.SH,中国波指,2017/11/3,10.41
000188.SH,中国波指,2017/11/6,10.67
000188.SH,中国波指,2017/11/7,10.41
000188.SH,中国波指,2017/11/8,10.76
000188.SH,中国波指,2017/11/9,10.86
000188.SH,中国波指,2017/11/10,11.43
000188.SH,中国波指,2017/11/13,11.52
000188.SH,中国波指,2017/11/14,12.21
000188.SH,中国波指,2017/11/15,12.31
000188.SH,中国波指,2017/11/16,12.03
000188.SH,中国波指,2017/11/17,12.65
000188.SH,中国波指,2017/11/20,14.56
000188.SH,中国波指,2017/11/21,14.54
000188.SH,中国波指,2017/11/22,15.36
000188.SH,中国波指,2017/11/23,16.1
000188.SH,中国波指,2017/11/24,16.92
000188.SH,中国波指,2017/11/27,18.02
000188.SH,中国波指,2017/11/28,15.06
000188.SH,中国波指,2017/11/29,15.68
000188.SH,中国波指,2017/11/30,16.8
000188.SH,中国波指,2017/12/1,17.99
000188.SH,中国波指,2017/12/4,16.03
000188.SH,中国波指,2017/12/5,15.33
000188.SH,中国波指,2017/12/6,16.24
000188.SH,中国波指,2017/12/7,15.75
000188.SH,中国波指,2017/12/8,15.03
000188.SH,中国波指,2017/12/11,14.68
000188.SH,中国波指,2017/12/12,15.24
000188.SH,中国波指,2017/12/13,15.15
000188.SH,中国波指,2017/12/14,15
000188.SH,中国波指,2017/12/15,15.18
000188.SH,中国波指,2017/12/18,15.35
000188.SH,中国波指,2017/12/19,15.12
000188.SH,中国波指,2017/12/20,15.31
000188.SH,中国波指,2017/12/21,14.76
000188.SH,中国波指,2017/12/22,14.69
000188.SH,中国波指,2017/12/25,15.32
000188.SH,中国波指,2017/12/26,15.13
000188.SH,中国波指,2017/12/27,16.79
000188.SH,中国波指,2017/12/28,15.51
000188.SH,中国波指,2017/12/29,14.27
000188.SH,中国波指,2018/1/2,15.03
000188.SH,中国波指,2018/1/3,14.81
000188.SH,中国波指,2018/1/4,14.67
000188.SH,中国波指,2018/1/5,14.45
000188.SH,中国波指,2018/1/8,14.81
000188.SH,中国波指,2018/1/9,14.27
000188.SH,中国波指,2018/1/10,14.64
000188.SH,中国波指,2018/1/11,14.95
000188.SH,中国波指,2018/1/12,14.32
000188.SH,中国波指,2018/1/15,15.46
000188.SH,中国波指,2018/1/16,15.99
000188.SH,中国波指,2018/1/17,16.9
000188.SH,中国波指,2018/1/18,18.89
000188.SH,中国波指,2018/1/19,18.88
000188.SH,中国波指,2018/1/22,18.88
000188.SH,中国波指,2018/1/23,19.28
000188.SH,中国波指,2018/1/24,21.04
000188.SH,中国波指,2018/1/25,18.78
000188.SH,中国波指,2018/1/26,17.11
000188.SH,中国波指,2018/1/29,18.49
000188.SH,中国波指,2018/1/30,16.08
000188.SH,中国波指,2018/1/31,17.15
000188.SH,中国波指,2018/2/1,16.79
000188.SH,中国波指,2018/2/2,17.03
000188.SH,中国波指,2018/2/5,18.55
000188.SH,中国波指,2018/2/6,22.2
000188.SH,中国波指,2018/2/7,24.06
000188.SH,中国波指,2018/2/8,25.67
000188.SH,中国波指,2018/2/9,33.06
000188.SH,中国波指,2018/2/12,28.19
000188.SH,中国波指,2018/2/13,27.53
000188.SH,中国波指,2018/2/14,27.32
000188.SH,中国波指,2018/2/22,27.32
000188.SH,中国波指,2018/2/23,27.32
000188.SH,中国波指,2018/2/26,27.32
000188.SH,中国波指,2018/2/27,27.32
000188.SH,中国波指,2018/2/28,27.32
000188.SH,中国波指,2018/3/1,27.32
000188.SH,中国波指,2018/3/2,27.32
000188.SH,中国波指,2018/3/5,27.32
000188.SH,中国波指,2018/3/6,27.32
000188.SH,中国波指,2018/3/7,27.32
000188.SH,中国波指,2018/3/8,27.32
000188.SH,中国波指,2018/3/9,27.32
000188.SH,中国波指,2018/3/12,27.32
000188.SH,中国波指,2018/3/13,27.32
000188.SH,中国波指,2018/3/14,27.32
000188.SH,中国波指,2018/3/15,27.32
000188.SH,中国波指,2018/3/16,27.32
000188.SH,中国波指,2018/3/19,27.32
000188.SH,中国波指,2018/3/20,27.32
000188.SH,中国波指,2018/3/21,27.32
000188.SH,中国波指,2018/3/22,27.32
000188.SH,中国波指,2018/3/23,27.32
000188.SH,中国波指,2018/3/26,27.32
000188.SH,中国波指,2018/3/27,27.32
000188.SH,中国波指,2018/3/28,27.32
000188.SH,中国波指,2018/3/29,27.32
000188.SH,中国波指,2018/3/30,27.32
000188.SH,中国波指,2018/4/2,27.32
000188.SH,中国波指,2018/4/3,27.32
000188.SH,中国波指,2018/4/4,27.32
000188.SH,中国波指,2018/4/9,27.32
000188.SH,中国波指,2018/4/10,27.32
000188.SH,中国波指,2018/4/11,27.32
000188.SH,中国波指,2018/4/12,27.32
000188.SH,中国波指,2018/4/13,27.32
000188.SH,中国波指,2018/4/16,27.32
000188.SH,中国波指,2018/4/17,27.32
000188.SH,中国波指,2018/4/18,27.32
000188.SH,中国波指,2018/4/19,27.32
000188.SH,中国波指,2018/4/20,27.32
000188.SH,中国波指,2018/4/23,27.32
000188.SH,中国波指,2018/4/24,27.32
000188.SH,中国波指,2018/4/25,27.32
000188.SH,中国波指,2018/4/26,27.32
000188.SH,中国波指,2018/4/27,27.32
000188.SH,中国波指,2018/5/2,27.32
000188.SH,中国波指,2018/5/3,27.32
000188.SH,中国波指,2018/5/4,27.32
000188.SH,中国波指,2018/5/7,27.32
000188.SH,中国波指,2018/5/8,27.32
000188.SH,中国波指,2018/5/9,27.32
000188.SH,中国波指,2018/5/10,27.32
000188.SH,中国波指,2018/5/11,27.32
000188.SH,中国波指,2018/5/14,27.32
000188.SH,中国波指,2018/5/15,27.32
000188.SH,中国波指,2018/5/16,27.32
000188.SH,中国波指,2018/5/17,27.32
000188.SH,中国波指,2018/5/18,27.32
000188.SH,中国波指,2018/5/21,27.32
000188.SH,中国波指,2018/5/22,27.32
000188.SH,中国波指,2018/5/23,27.32
000188.SH,中国波指,2018/5/24,27.32
000188.SH,中国波指,2018/5/25,27.32
000188.SH,中国波指,2018/5/28,27.32
000188.SH,中国波指,2018/5/29,27.32
000188.SH,中国波指,2018/5/30,27.32
000188.SH,中国波指,2018/5/31,27.32
000188.SH,中国波指,2018/6/1,27.32
000188.SH,中国波指,2018/6/4,27.32
000188.SH,中国波指,2018/6/5,27.32
000188.SH,中国波指,2018/6/6,27.32
000188.SH,中国波指,2018/6/7,27.32
000188.SH,中国波指,2018/6/8,27.32
000188.SH,中国波指,2018/6/11,27.32
000188.SH,中国波指,2018/6/12,27.32
000188.SH,中国波指,2018/6/13,27.32
000188.SH,中国波指,2018/6/14,27.32
000188.SH,中国波指,2018/6/15,27.32
000188.SH,中国波指,2018/6/19,27.32
000188.SH,中国波指,2018/6/20,27.32
000188.SH,中国波指,2018/6/21,27.32
000188.SH,中国波指,2018/6/22,27.32
000188.SH,中国波指,2018/6/25,27.32
000188.SH,中国波指,2018/6/26,27.32
000188.SH,中国波指,2018/6/27,27.32
000188.SH,中国波指,2018/6/28,27.32
000188.SH,中国波指,2018/6/29,27.32
000188.SH,中国波指,2018/7/2,27.32
000188.SH,中国波指,2018/7/3,27.32
000188.SH,中国波指,2018/7/4,27.32
000188.SH,中国波指,2018/7/5,27.32
